Zorgkosten vanuit de Zorgverzekeringswet naar leeftijd en huishoudensinkomen 2012
Leeftijdsklasse,Kwintielen huishoudinkomen,Decielen Zorgkosten,Gemiddelde Zvw kosten,Gemiddelde Zvw kosten excl huisartsenzorg,Gemiddelde Zvw kosten excl huisartsenzorg en geboortezorg,Gemiddeld besteedbaar huishoudensinkomen,Aantal personen
0 t/m 19 jaar,1e kwintiel,1,64,6,6,9870,83113
0 t/m 19 jaar,1e kwintiel,2,121,38,38,10327,83113
0 t/m 19 jaar,1e kwintiel,3,175,82,82,10377,83113
0 t/m 19 jaar,1e kwintiel,4,241,134,134,10451,83113
0 t/m 19 jaar,1e kwintiel,5,327,210,210,10597,83113
0 t/m 19 jaar,1e kwintiel,6,449,325,324,10693,83113
0 t/m 19 jaar,1e kwintiel,7,637,503,503,10650,83113
0 t/m 19 jaar,1e kwintiel,8,977,837,837,10702,83113
0 t/m 19 jaar,1e kwintiel,9,1691,1540,1540,10874,83113
0 t/m 19 jaar,1e kwintiel,10,8413,8244,8234,10763,83113
0 t/m 19 jaar,2e kwintiel,1,78,11,11,17534,73821
0 t/m 19 jaar,2e kwintiel,2,129,46,46,17587,73822
0 t/m 19 jaar,2e kwintiel,3,178,86,86,17584,73822
0 t/m 19 jaar,2e kwintiel,4,236,131,131,17575,73822
0 t/m 19 jaar,2e kwintiel,5,312,197,197,17569,73822
0 t/m 19 jaar,2e kwintiel,6,423,299,299,17560,73822
0 t/m 19 jaar,2e kwintiel,7,597,465,465,17549,73822
0 t/m 19 jaar,2e kwintiel,8,916,776,776,17548,73822
0 t/m 19 jaar,2e kwintiel,9,1606,1456,1456,17539,73822
0 t/m 19 jaar,2e kwintiel,10,7415,7248,7244,17533,73822
0 t/m 19 jaar,3e kwintiel,1,80,12,12,21907,74115
0 t/m 19 jaar,3e kwintiel,2,128,46,46,21925,74116
0 t/m 19 jaar,3e kwintiel,3,174,83,83,21926,74116
0 t/m 19 jaar,3e kwintiel,4,227,124,124,21926,74116
0 t/m 19 jaar,3e kwintiel,5,296,183,183,21914,74116
0 t/m 19 jaar,3e kwintiel,6,399,278,278,21907,74116
0 t/m 19 jaar,3e kwintiel,7,559,430,430,21902,74116
0 t/m 19 jaar,3e kwintiel,8,851,713,713,21898,74116
0 t/m 19 jaar,3e kwintiel,9,1492,1351,1350,21893,74116
0 t/m 19 jaar,3e kwintiel,10,6961,6801,6798,21873,74115
0 t/m 19 jaar,4e kwintiel,1,80,12,12,27448,61309
0 t/m 19 jaar,4e kwintiel,2,127,45,45,27443,61309
0 t/m 19 jaar,4e kwintiel,3,170,82,82,27443,61310
0 t/m 19 jaar,4e kwintiel,4,220,121,121,27440,61309
0 t/m 19 jaar,4e kwintiel,5,286,176,176,27440,61309
0 t/m 19 jaar,4e kwintiel,6,381,264,264,27427,61310
0 t/m 19 jaar,4e kwintiel,7,530,405,405,27416,61309
0 t/m 19 jaar,4e kwintiel,8,797,664,664,27429,61310
0 t/m 19 jaar,4e kwintiel,9,1395,1259,1259,27398,61309
0 t/m 19 jaar,4e kwintiel,10,6816,6662,6659,27383,61309
0 t/m 19 jaar,5e kwintiel,1,76,10,10,46020,51701
0 t/m 19 jaar,5e kwintiel,2,122,42,42,44652,51702
0 t/m 19 jaar,5e kwintiel,3,163,78,78,44884,51702
0 t/m 19 jaar,5e kwintiel,4,211,115,115,44592,51702
0 t/m 19 jaar,5e kwintiel,5,271,166,166,45000,51702
0 t/m 19 jaar,5e kwintiel,6,358,245,245,44840,51702
0 t/m 19 jaar,5e kwintiel,7,493,374,374,45193,51702
0 t/m 19 jaar,5e kwintiel,8,725,597,597,45009,51702
0 t/m 19 jaar,5e kwintiel,9,1255,1123,1123,44673,51702
0 t/m 19 jaar,5e kwintiel,10,6312,6165,6164,44022,51702
20 t/m 39 jaar,1e kwintiel,1,23,1,1,8147,98678
20 t/m 39 jaar,1e kwintiel,2,71,2,1,9290,98678
20 t/m 39 jaar,1e kwintiel,3,92,12,12,9455,98679
20 t/m 39 jaar,1e kwintiel,4,130,38,38,9551,98678
20 t/m 39 jaar,1e kwintiel,5,204,87,86,9658,98678
20 t/m 39 jaar,1e kwintiel,6,340,208,205,9751,98679
20 t/m 39 jaar,1e kwintiel,7,575,434,425,9833,98679
20 t/m 39 jaar,1e kwintiel,8,1049,888,876,10041,98678
20 t/m 39 jaar,1e kwintiel,9,2407,2228,2123,10349,98679
20 t/m 39 jaar,1e kwintiel,10,11562,11360,10709,10471,98678
20 t/m 39 jaar,2e kwintiel,1,49,1,1,17548,72019
20 t/m 39 jaar,2e kwintiel,2,77,3,3,17612,72045
20 t/m 39 jaar,2e kwintiel,3,99,16,16,17604,72034
20 t/m 39 jaar,2e kwintiel,4,137,42,41,17599,72033
20 t/m 39 jaar,2e kwintiel,5,208,88,87,17594,72033
20 t/m 39 jaar,2e kwintiel,6,337,202,198,17577,72033
20 t/m 39 jaar,2e kwintiel,7,557,416,406,17576,72033
20 t/m 39 jaar,2e kwintiel,8,989,830,817,17563,72033
20 t/m 39 jaar,2e kwintiel,9,2232,2057,1980,17550,72033
20 t/m 39 jaar,2e kwintiel,10,9511,9316,8442,17537,72033
20 t/m 39 jaar,3e kwintiel,1,54,1,1,21986,81015
20 t/m 39 jaar,3e kwintiel,2,77,3,3,21996,81025
20 t/m 39 jaar,3e kwintiel,3,98,15,15,21985,81021
20 t/m 39 jaar,3e kwintiel,4,132,39,39,21985,81020
20 t/m 39 jaar,3e kwintiel,5,197,80,79,21981,81020
20 t/m 39 jaar,3e kwintiel,6,315,184,180,21967,81021
20 t/m 39 jaar,3e kwintiel,7,523,389,377,21969,81020
20 t/m 39 jaar,3e kwintiel,8,919,769,755,21964,81021
20 t/m 39 jaar,3e kwintiel,9,2123,1960,1893,21945,81020
20 t/m 39 jaar,3e kwintiel,10,8861,8683,7576,21982,81020
20 t/m 39 jaar,4e kwintiel,1,56,1,1,27573,82227
20 t/m 39 jaar,4e kwintiel,2,76,2,2,27577,82228
20 t/m 39 jaar,4e kwintiel,3,95,14,14,27571,82228
20 t/m 39 jaar,4e kwintiel,4,127,36,36,27556,82228
20 t/m 39 jaar,4e kwintiel,5,186,74,73,27536,82227
20 t/m 39 jaar,4e kwintiel,6,297,170,166,27549,82228
20 t/m 39 jaar,4e kwintiel,7,497,369,355,27548,82228
20 t/m 39 jaar,4e kwintiel,8,873,731,715,27527,82228
20 t/m 39 jaar,4e kwintiel,9,2064,1908,1842,27500,82228
20 t/m 39 jaar,4e kwintiel,10,8663,8497,7225,27541,82227
20 t/m 39 jaar,5e kwintiel,1,55,1,1,42070,70143
20 t/m 39 jaar,5e kwintiel,2,75,2,2,41402,70141
20 t/m 39 jaar,5e kwintiel,3,93,12,12,41307,70142
20 t/m 39 jaar,5e kwintiel,4,122,34,34,41339,70143
20 t/m 39 jaar,5e kwintiel,5,178,69,69,41300,70143
20 t/m 39 jaar,5e kwintiel,6,285,162,159,41510,70142
20 t/m 39 jaar,5e kwintiel,7,481,358,344,41516,70143
20 t/m 39 jaar,5e kwintiel,8,846,711,694,41594,70142
20 t/m 39 jaar,5e kwintiel,9,2073,1927,1839,41578,70143
20 t/m 39 jaar,5e kwintiel,10,8852,8698,7296,41760,70142
40 t/m 59 jaar,1e kwintiel,1,44,1,1,8936,91739
40 t/m 59 jaar,1e kwintiel,2,86,9,9,9411,91740
40 t/m 59 jaar,1e kwintiel,3,141,48,48,9717,91739
40 t/m 59 jaar,1e kwintiel,4,253,137,137,9992,91740
40 t/m 59 jaar,1e kwintiel,5,452,323,323,10104,91739
40 t/m 59 jaar,1e kwintiel,6,763,622,622,10336,91740
40 t/m 59 jaar,1e kwintiel,7,1267,1112,1111,10642,91740
